Eye_starts_closing,Eye_most_closed_pos,Eye_starts_opening,Eye_open,Blink_type,video_id,Horse_ID,Eye_starts_closing_frame,Eye_most_closed_pos_frame,Eye_starts_opening_frame,Eye_open_frame
0.8333333333333334,,,0.9666666666666667,H,G-003,G,25,,,29
5.433333333333334,,,5.666666666666667,F,G-003,G,163,,,170
5.8,,,6.0,F,G-003,G,174,,,180
8.233333333333333,,,8.466666666666667,F,G-003,G,247,,,254
9.033333333333333,,,9.233333333333333,H,G-003,G,271,,,277
10.6,,,10.9,F,G-003,G,318,,,327
11.1,,,11.433333333333334,H,G-003,G,333,,,343
12.6,,,12.866666666666667,F,G-003,G,378,,,386
14.266666666666667,,,14.566666666666666,F,G-003,G,428,,,437
14.766666666666667,,,14.933333333333334,H,G-003,G,443,,,448
16.1,,,16.433333333333334,F,G-003,G,483,,,493
16.5,,,16.866666666666667,F,G-003,G,495,,,506
17.233333333333334,,,17.4,H,G-003,G,517,,,522
20.366666666666667,,,20.5,H,G-003,G,611,,,615
21.033333333333335,,,21.266666666666666,F,G-003,G,631,,,638
21.866666666666667,,,22.033333333333335,H,G-003,G,656,,,661
22.5,,,22.833333333333332,H,G-003,G,675,,,685
23.033333333333335,,,23.2,H,G-003,G,691,,,696
25.033333333333335,,,25.2,H,G-003,G,751,,,756
26.466666666666665,,,26.666666666666668,H,G-003,G,794,,,800
28.1,,,28.333333333333332,H,G-003,G,843,,,850
28.833333333333332,,,29.066666666666666,F,G-003,G,865,,,872
29.5,,,29.7,H,G-003,G,885,,,891
30.633333333333333,,,31.0,F,G-003,G,919,,,930
31.366666666666667,,,31.666666666666668,F,G-003,G,941,,,950
32.43333333333333,,,32.7,H,G-003,G,973,,,981
33.03333333333333,,,33.333333333333336,F,G-003,G,991,,,1000
33.9,,,34.13333333333333,H,G-003,G,1017,,,1024
34.43333333333333,,,34.7,H,G-003,G,1033,,,1041
37.333333333333336,,,37.6,F,G-003,G,1120,,,1128
38.1,,,38.3,H,G-003,G,1143,,,1149
38.9,,,39.03333333333333,H,G-003,G,1167,,,1171
39.7,,,40.0,H,G-003,G,1191,,,1200
